jour;date;artiste;style_musical;lieu;ville;heure;tarif;autre
Voici les événements extraits de l'image sous forme de ligne CSV :

```
Ve;08/07/2005;Cabaret de Quat'sous;théâtre musical;Cie Comme la Lune, L'Inventaire;Le Mans;21h;6€ à 9€;résa obligatoire
Ve;08/07/2005;Festival Les Affranchis;théâtre de rue;à la Flèche;Le Mans;-;gratuit;-
Sa;02/07/2005;Festival JAM;-;Maison;-;-;-;-
```

Note: Certains détails comme les heures et les tarifs ne sont pas toujours spécifiés dans l'image, donc ils sont laissés vides ou indiqués comme "gratuit" ou "résa obligatoire" selon les informations disponibles.
Voici les événements extraits de l'image sous forme de ligne CSV :

```csv
jour;date;artiste;style_musical;lieu;ville;heure;tarif;autre
Sa;02/07/2005;GENS AKU;orchestra;MJC Jacques Prévert;Le Mans;18h00;1€;Exposition 100 Visages pour Sauver Prévert
Sa;02/07/2005;JAM;impro;MJC Jacques Prévert;Le Mans;18h00;1€;
Sa;02/07/2005;KARL LUDOVIC;spectacle;MJC Jacques Prévert;Le Mans;19h30;1€;Botanie
Sa;02/07/2005;KARTEL DES GENS BIEN;concert;MJC Jacques Prévert;Le Mans;21h00;1€;
Sa;02/07/2005;YPSILON;concert;MJC Jacques Prévert;Le Mans;21h00;1€;
Sa;02/07/2005;MAP;concert;MJC Jacques Prévert;Le Mans;21h00;1€;
Sa;02/07/2005;YARDBEAT;concert;MJC Jacques Prévert;Le Mans;21h00;1€;
Sa;02/07/2005;DJ SONIC;radio;MJC Jacques Prévert;Le Mans;22h30;1€;
Sa;02/07/2005;B.CHAIX;concert;MJC Jacques Prévert;Le Mans;22h30;1€;
Sa;02/07/2005;WILLY GATOR;concert;MJC Jacques Prévert;Le Mans;22h30;1€;
Sa;02/07/2005;MR BEE;concert;MJC Jacques Prévert;Le Mans;22h30;1€;
Sa;02/07/2005;SAILOR PALMER;concert;MJC Jacques Prévert;Le Mans;23h00;1€;
Sa;02/07/2005;PTIDAV;concert;MJC Jacques Prévert;Le Mans;23h00;1€;
Sa;02/07/2005;DOUBLE FIRE;concert;MJC Jacques Prévert;Le Mans;23h00;1€;
Sa;02/07/2005;K.POERA;concert;MJC Jacques Prévert;Le Mans;23h00;1€;
Sa;02/07/2005;HAPPENING & GUEST;concert;MJC Jacques Prévert;Le Mans;23h00;1€;
```
Voici les événements extraits de l'image sous forme de lignes CSV avec les en-têtes demandés :

```csv
jour;date;artiste;style_musical;lieu;ville;heure;tarif;autre
Je;07/07;ANAIS + KAAR KAAS SONN;chanson + rap;Salle 6 par 4;Entrammes;21h;7€;
Me;13/07;STRUP X + DJ BEATSUCKER;techno jungle;Salle 6 par 4;Entrammes;21h;7€;
