festival,style_festival,date,horaire,lieu,ville,prix,genre,spectacle,artiste1,style1,artiste2,style2,artiste3,style3,artiste4,style4
,,Jeudi 3,19h,L'Épicerie sur le Zinc,Le Mans,au chapeau,c,,Les chansons de mon Québec,,,,,,,
Moth Frequency,,Jeudi 31,21h,Le Lézard,Le Mans,au chapeau,c,,Toungouska,post-black,,,,,,
,,Jeudi 31,19h,L'Épicerie sur le Zinc,Le Mans,tnc,c,,Chansons en duo,ch.populaires,,,,,,
,,Jeudi 31,20h30,Salle Jean Carmet,Allonnes,7 à 13€,c,,Emily Jane White,folk américain,Bacchantes,rock folk baroque,,,,
Collectif 3h10,,Mardi 1,20h30,Brasserie Septante Deux,Le Mans,0 €,c,Circuits #1,,jazz hors piste,,,,,,
,,Mardi 1,20h30,Eve scène universitaire,Le Mans,4/10€,sv,"C'est toi qu'on adore + Au-delà, vu d'ici",Cie Leïla Ka + Cie La Cavale,danse,,,,,,
,,Mardi 1,20h30,Le Pâtis,Le Mans,20 €,sv,Music-Hall is not dead,LF Productions,sp. musical live,,,,,,
Europa Jazz,festival jazz,Mardi 1,20h,Salle Chorus,,0 €,c,,Louise Chen,folk,busy p,acid,,,,
,,Mardi 15,20h30,Le Pâtis,Le Mans,15 €,sv,Une cuillère pour mamie,LF Productions,sp. humour,,,,,,
Europajazz,,Mardi 15,20h30,Théâtre de la Halle-au-Blé,La Flèche,7 à 18€,c,,C.Bonacina & L.Dehors,musique jazz,,,,,,
,,Mardi 22,20h30,Le Pâtis,Le Mans,15 €,sv,Une cuillère pour mamie,LF Productions,sp. humour,,,,,,
Complet,,Mardi 22,20h,L'Oasis,Le Mans,,c,,Feu! Chatterton,ch. rock pop,Nous étions une armée,musique poétique française,,,,
,,Mardi 22,20h30,Salle Coppélia,La Flèche,7 à 15€,sv,Courir,Thierry Romanens,théâtre / musique,,,,,,
,,Mardi 29,18h,Espace Henri Salvador,Coulaines,5 à 7€,sv,L'envol de la fourmi,Cie au fil du vent,fantaisie funambulesque pour poules et clown >3 ans,,,,,,
,,Mardi 29,18h30,Eve scène universitaire,Le Mans,4/10€,sv,Que du bonheur,Cie Le Phalène,th.,,,,,,
,,Mardi 29,18h30,Les Saulnières ,Le Mans,5/10€,c,,Gonam City,jazz poétique jeune public,,,,,,
,,Mardi 29,20h30,Salle Coppélia,La Flèche,7 à 30€,sv,J'ai des doutes,François Morel,humour,,,,,,
,,Mardi 8,18h,Espace Henri Salvador,Coulaines,5 à 7€,sv,Racines,Théâtre Bascule,théâtre >4 ans,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Mardi 8,18h,Espace Scélia,Sargé-lès-le-Mans,4/6€,sv,Mes nouvelles chaussures,Cie l'Home Dibuxat,théâtre d'objets >3 ans,,,,,,
,,Mardi 8,20h30,Le Pâtis,Le Mans,15 €,sv,Une cuillère pour mamie,LF Productions,sp. humour,,,,,,
,,Mercredi 16,20h30,Eve scène universitaire,Le Mans,4/10€,c,,Azadi quartet,mus. du monde,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Mercredi 16,18h,Le Val de Vray,Saint-Saturnin,4/6€,sv,Petites traces,Cie Nomorpa,sp. vivant et arts plastiques 6 mois à 6 ans,,,,,,
,,Mercredi 16,20h,L'Oasis,Le Mans,20 à 26€,c,,Cats On Trees,pop rock,Stéphane,ch. fr. rock,,,,
,,Mercredi 2,18h,Centre Culturel Athéna,La Ferté-Bernard,5 €,sv,L'agent 00203 contre Mr K,Cie Locale + Centre Culturel Athéna,Ciné-concert,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Mercredi 23,15h,Espace Scélia,Sargé-lès-le-Mans,4/6€,sv,Kubik,Théâtro Paraiso,sp. ludique et visuel 0-5ans,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Mercredi 23,16h,Salle G. Brassens,Yvré-l'Évêque,4/6€,sv,Là-Haut,Teatro All'improvviso,sp. dessiné >3 ans,,,,,,
,,Mercredi 30,19h,108 - cent huit,Le Mans,0 €,c,,Jam Blues Spirit,blues,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Mercredi 30,15h,L'Envol,La Bazoge,4/6€,sv,La petite conférence manipulée,Cie Index,conférence décalée >7 ans,,,,,,
,,Mercredi 30,19h,L'Épicerie sur le Zinc,Le Mans,0 €,sv,Hauts Les Masques,,th. saynètes amateur sur inscription,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Mercredi 30,16h,Salle associative,Saint-Georges-du-Bois,4/6€,sv,"Vite, vite, vite",Cie Tétrofort,conte et humour >3 ans,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Mercredi 9,15h30 et 17h,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4/6€,sv,Mes nouvelles chaussures,Cie l'Home Dibuxat,théâtre d'objets >3 ans,,,,,,
,,Mercredi 9,20h30,Eve scène universitaire,Le Mans,4/10€,sv,Appelez-moi Madame,Cie No man's land,danse,,,,,,
,,Mercredi 9,20h30,Le Lézard,Le Mans,au chapeau,c,,Bourbier,sludge,Damian G Even,folk,,,,
,,Mercredi 9,14h15,Studio de la Cie Marie Lenfant,Le Mans,entrée libre sur résa,sv,Couverture,Cie Écart,danse choré,,,,,,
,,Samedi 12,20h30,Cité du cirque,Le Mans,4/8€,sv,Le lac des cygnes,Cie L'Eolienne,cirque,,,,,,
,,Samedi 12,20h30,Espace Henri Salvador,Coulaines,8 à 14€,c,,LUBIANA,"soul, jazz, musique du monde",,,,,,
Rencontres chorégraphiques Maine Saosnois,,Samedi 12,20h30,Espace Saugonna,Mamers,0 €,sv,Carte blanche au conservatoire de Rouen,,danse,,,,,,
,,Samedi 12,20h,Le Guet à Pintes,Le Mans,0 €,c,,Spardeck,hard rock métal,,,,,,
Festival DiverScènes,,Samedi 12,20h30,Les Saulnières ,Le Mans,16 à 22€,c,,General Elektriks,funk pop electro,Theodora,ch. electro pop,,,,
,,Samedi 12,20h30,Local des As,Le Mans,0 €,c,Les douze travaux de Robert,La dernière goutte & comédiens,conte théatro-rock,Place de ma mob,ch.,,,,
,,Samedi 12,18h30,Théâtre du Passeur,Le Mans,8 €,sv,Les Séparés,Théâtre du Passeur,théâtre,,,,,,
,,Samedi 19,19h,Cirque Mimulus,Fresnay-sur-Sarthe,5-8€,sv,Qui sommes nous-je,Famille Morallès,"sp. cirque, concert swing&jazz, potage",,,,,,
Soirée concert ,,Samedi 19,19h,Domaine de la Gandonnière,Teloché,entrée + planche apéro + boisson : 15€ (résa : 0637047628 ou email - limité à 80 personnes),c,,One Way 57',rock cover,,,,,,
Festival Printemps des Languages,,Samedi 19,19h30,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4/7/10€,sv,Un instant de poésie,Stéphane Juglet,poésie,,,,,,
Festival Printemps des Languages,,Samedi 19,20h30,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4/7/10€,c,,Scene slam,,Detour (HDW + Paul Rogers),slam / contrebasse,,,,
,,Samedi 19,19h,Eve scène universitaire,Le Mans,4/10€,sv,Diptyque - Épisode 1 : End/Igné,Cie El Ajouad,th.,,,,,,
,,Samedi 19,21h,Eve scène universitaire,Le Mans,4/10€,sv,"Diptyque - Épisode 2 : Fièvres, généalogie d'une insurrection",Cie El Ajouad,th.,,,,,,
,,Samedi 19,16h30,La Castélorienne,Montval-sur-Loir,4 €,sv,La véritable histoire de d'artagnan,Théâtre du faune,théâtre,,,,,,
,,Samedi 19,20h,Le Lapin Blanc,Le Mans,0 €,c,,Spilova,jazz manouche,,,,,,
Hivernal'Rock #7 (concerts tattoo expo food truck...),,Samedi 19,18h30,Le Local a Bières,Arnage,0 €,c,,Pas Le Vendredi,rock sarthois,Blurry Shapes,rock metal stoner pop,D-Rec,rock,,
Hellpineu Rap City,,Samedi 19,19h,L'Etable,,"prix libre, + d'infos adjpda@riseup.net",c,,Tinaa + Siren + Wuu Jia X Ana Asif + Tideux X Fl-How + LADS,rap,Breefood & Hewdoo,techno,,,,
,,Samedi 19,20h30,Théâtre Épidaure,Bouloire,5/10€,sv,Des femmes,Badock Théâtre,théâtre adulte,,,,,,
,,Samedi 26,20h30,Cité du cirque,Le Mans,4/8€,sv,Projet grand-mère,Cie Un loup pour l'homme,cirque,Cuir,Cirque,,,,
Midnight Love #2,dj set house world disco...,Samedi 26,21h,Le Barouf,Le Mans,0 €,c,,Dj André,"La Mona, Paris",Tange Nguyen,,,,,
,,Samedi 26,20h,Le Lapin Blanc,Le Mans,0 €,c,,John Maine,rock cover,,,,,,
,,Samedi 26,20h30,Le Lézard,Le Mans,au chapeau,c,,Ana Asif & Wuu Jia,rap,Monsieur Saï,rap,,,,
,,Samedi 26,20h30,Le Val de Vray,Saint-Saturnin,0 €,sv,Soirée #4 Vray Talents,Scene ouverte,"magie, danse, chant, théâtre",,,,,,
Indé*Rama #1,,Samedi 26,20h30,Les Saulnières ,Le Mans,7 à 13€ (Pass 3 soirs 25€),c,,Structures,post-punk,Bandit Bandit,french rock'n'roll band,La Peste,death reverb punk,,
,,Samedi 26,18h30,Théâtre du Passeur,Le Mans,8/10€,sv,Du sang sur ma tartine,Cie Atetc,théâtre Adulte,,,,,,
La Fourche à Tigre,,Samedi 5,20h30,Brasserie Septante Deux,Le Mans,0 €,c,,Anna,pop lo-fi,13th Hole,indie rock noise US,,,,
La fièvre du samedi matin,,Samedi 5,11h,La Fonderie,Le Mans,entrée libre,c,,Ensemble Offrandes/ PESSV / Conservatoire du Mans,Gustav Mahler création collective,,,,,,
Im Abendsonnendufte,,Samedi 5,20h,La Fonderie,Le Mans,5 €,c,,Ensemble Offrandes/ PESSV / Conservatoire du Mans,Gustav Mahler création collective,,,,,,
,,Samedi 5,21h30,Le Barouf,Le Mans,0 €,c,,Praktika,dj set Afrique électronique,,,,,,
,,Samedi 5,20h30,Le Pâtis,Le Mans,20 €,sv,8m2,LF Productions,sp. humour,,,,,,
Soirée années 80,,Samedi 5,19h,Le Val’Rhonne,Moncé-en-Belin,18 € repas compris,c,,DJ concept évènements,années 80,,,,,,
,,Samedi 5,11h,"Parc du Petit Train, rue Pierre Levegh",Allonnes,au chapeau,sv,Hors Les Murs,Equipe artistique du Th. de Chaoué,"slam, danse, théâtre",,,,,,
Tattoo Convention #3,,Samedi 5,20h30,Parc Expo,Le Mans,12 €,c,,Sidilarsen,metal industriel,Pogo Car Crash Control,punk noise,,,,
,,Samedi 5,20h30,Salle Coppélia,La Flèche,7 à 18€,c,,Frédéric Fromet,chansons,,,,,,
,,Samedi 5,20h30,Salle Jean Carmet,Allonnes,17 à 25€,c,,Miossec,ch. fr pop rock,Brieg Guerveno,ch. folk,,,,
,,Samedi 5,20h30,Salle Mélusine,Bonnétable,7 €,sv,Ca se complique,Compagnie de Vair,théâtre,,,,,,
,,Samedi 5,21h,Théâtre de l’Acthalia,Le Mans,10 à 18 €,sv,Le Radeau Cabaret,T. Dannreuther & S.Péronnet,comédie musicale de poche,,,,,,
,,Samedi 5,18h30,Théâtre du Passeur,Le Mans,8 €,sv,Les Séparés,Théâtre du Passeur,théâtre,,,,,,
,,Vendredi 11,21h,Chez Marcelle,Le Mans,0 €,c,,Neowise,dj set synthwave EBM,,,,,,
,,Vendredi 11,20h30,Cité du cirque,Le Mans,4/8€,sv,Le lac des cygnes,Cie L'Eolienne,cirque,,,,,,
Rencontres chorégraphiques Maine Saosnois,,Vendredi 11,20h30,Espace Saugonna,Mamers,0 à 12€,sv,Ballet junior de Genève,,danse,,,,,,
,,Vendredi 11,15h30 et 17h,Espace Scélia,Sargé-lès-le-Mans,10/13€,sv,Les coureurs,Barroco Théâtre,théâtre,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Vendredi 11,18h,L’Alambik MJC Ronceray,Le Mans,4/6€,sv,Mes nouvelles chaussures,Cie l'Home Dibuxat,théâtre d'objets >3 ans,,,,,,
,,Vendredi 11,19h,La pince à vélo,Teloché,au chapeau,c,,Flo Gets Four,pop rock folk cover,,,,,,
,,Vendredi 11,20h30,L'Austral,Le Mans,au chapeau,c,,Carver,noise punk,,,,,,
,,Vendredi 11,20h,Le Lapin Blanc,Le Mans,0 €,c,,Déjanjo,"ch. fr & espagnole, jazz manouche",,,,,,
Teriaki - Garage 5,,Vendredi 11,20h30,Le Lézard,Le Mans,au chapeau,c,,Chris Imler,freaky drummer,Leroy se meurt,synth punk,,,,
Soirée St Patrick,,Vendredi 11,19h,Le Val’Rhonne,Moncé-en-Belin,6 €,c,,Gossons Trio,mus. celtique,BB Clan,rock celtique,,,,
,,Vendredi 11,20h30,L'Épicerie sur le Zinc,Le Mans,au chapeau,c,,DJAZARAD,soul/funk,,,,,,
,,Vendredi 11,20h30,Théâtre du Passeur,Le Mans,8 €,sv,Les Séparés,Théâtre du Passeur,théâtre,,,,,,
,,Vendredi 18,20h30,Bières et Chopes,Le Mans,0 €,c,,Looking For U2,tribute band,,,,,,
,,Vendredi 18,18h30,"Chapiteau, parc de Casablanca",Le Mans,0 €,sv,Dans l'espace,Cie Un loup pour l'homme,cirque en chantier,,,,,,
,,Vendredi 18,21h ,Chez Marcelle,Le Mans,0 €,c,,Laurent Barnier,dj set techno guinguette,,,,,,
Festival Printemps des Languages,,Vendredi 18,20h15,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4/6€,sv,Petites traces,Cie. Nomorpa,sp. vivant et arts plastiques 6 mois à 6 ans,,,,,,
Festival Printemps des Languages,,Vendredi 18,20h30,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4/7/10€,sv,La ferme  de Chias,Les chemineux et Serge Bertin,th. documentaire,,,,,,
Livres et Cie,lectures et spectacle,Vendredi 18,20h30,Espace Henri Salvador,Coulaines,5 à 7€,sv,Les Vraies richesses,La Perenne cie,théâtre >12 ans,,,,,,
,,Vendredi 18,19h,Eve scène universitaire,Le Mans,4/10€,sv,Diptyque - Épisode 1 : End/Igné,Cie El Ajouad,th.,,,,,,
,,Vendredi 18,21h,Eve scène universitaire,Le Mans,4/10€,sv,"Diptyque - Épisode 2 : Fièvres, généalogie d'une insurrection",Cie El Ajouad,th.,,,,,,
,,Vendredi 18,18h30,FIAA,Le Mans,10/15€ (0€ - 7 ans),sv,1m58,Cie Marie Lenfant,sp. expo,,,,,,
,,Vendredi 18,20h30,Le Lézard,Le Mans,au chapeau,c,,Turbo Panda,rock noise,Circles,post punk,,,,
,,Vendredi 18,20h,Le Lodge,Le Mans,0 €,c,,Zouj,soul blues pop cover,,,,,,
,,Vendredi 18,20h30,Le Pâtis,Le Mans,25 €,sv,Big Live 80,LF Productions,sp. ambianceur musique live,,,,,,
,,Vendredi 18,21h,Le Zoo,Le Mans,au chapeau,c,,Paul,folk,,,,,,
,,Vendredi 18,20h30,L'Écluse,Le Mans,au chapeau,c,,Töle lab. poétique,musique & poésie,,,,,,
,,Vendredi 18,20h30,L'Éolienne,Arnage,7 à 14€,sv,Demande à la poussière,Cie Wales,th. & musique dès 15 ans,,,,,,
,,Vendredi 18,20h30,L'Épicerie sur le Zinc,Le Mans,au chapeau,c,,Diamonds & ze Kats ,soul/pop/funk,,,,,,
La nuit de la St. Patrick,,Vendredi 18,20h30,Les Saulnières ,Le Mans,8 à 14€,c,,Rura,musique trad écossaise,Duo Bouguennec-Roudil,musique bretonne & irlandaise,,,,
Carte blanche à Santé Records #2 (lives électro),,Vendredi 18,20h30,Péniche Excelsior,Allonnes,5 à 11€,c,,Claude Violante,,Karim Kahar,,S Diamah,,Apollo Noir,
,,Vendredi 18,20h30,Salle Atlantis,Saint-Cosme-en-Vairais,tnc,sv,Les desssous entendus,Les tréteaux de Malestable,théâtre,,,,,,
,,Vendredi 18,19h,Salle Coppélia,La Flèche,4 €,sv,Dedale,Cie Bissextile,danse,,,,,,
,,Vendredi 25,21h,Chez Marcelle,Le Mans,0 €,c,,Karlo,dj set techno,,,,,,
,,Vendredi 25,20h30,Cité du cirque,Le Mans,4/8€,sv,Projet grand-mère,Cie Un loup pour l'homme,cirque,Cuir,Cirque,,,,
,,Vendredi 25,20h30,Espace Scélia,Sargé-lès-le-Mans,8/11€,sv,Tic Tac Impro,,théâtre d'improvisation,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Vendredi 25,18h,L’Alambik MJC Ronceray,Le Mans,4/6€,sv,Là-Haut,Teatro All'improvviso,sp. dessiné >3 ans,,,,,,
,,Vendredi 25,20h30,La Castélorienne,Montval-sur-Loir,24 €,sv,Le petit coiffeur,Atelier Théâtre Actuel,théâtre,,,,,,
,,Vendredi 25,20h30,L'Austral,Le Mans,au chapeau,c,,Attic Ted,freaks texan,,,,,,
,,Vendredi 25,20h,Le Lapin Blanc,Le Mans,0 €,c,,Eli' Jazz,jazz swing,,,,,,
,,Vendredi 25,20h30,Le Pâtis,Le Mans,25 €,sv,Big Live 80,LF Productions,sp. ambianceur musique live,,,,,,
Festival Au pays du Môme,spectacles jeune public/ en famille,Vendredi 25,18h45,Le Val’Rhonne,Moncé-en-Belin,4/6€,sv,Kubik,Teatro Paraiso,sp. ludique et visuel 0-5ans,,,,,,
,,Vendredi 25,20h30,L'Épicerie sur le Zinc,Le Mans,au chapeau,sv,La langue des omoplates,,lecture poèmes & musique,,,,,,
Indé*Rama #1,,Vendredi 25,20h30,Salle Jean Carmet,Allonnes,7 à 13€ (Pass 3 soirs 25€),c,,Frustration,post-punk,Cannibale,garage rock cumbia afro,Roboy,ch. lo-fi pop,,
,,Vendredi 4,21h,Chez Marcelle,Le Mans,0 €,c,,Smak Fly,dj set techno,Gio Gio,dj set techno,,,,
,,Vendredi 4,12h30,Cité du cirque,Le Mans,0 €,sv,Belvédère,Collectif Martine à la plage,cirque en chantier,,,,,,
,,Vendredi 4,20h30,Espace culturel L'Orée du Bois,La Chapelle-Saint-Aubin,4/7/10€,sv,Puisqu'on a toujours fait comme ça...,Collectif Grand maximum,théâtre,,,,,,
,,Vendredi 4,20h30,Le Val de Vray,Saint-Saturnin,6 à 12€,sv,L'Arnaqueuse,Cœur de scène production,théâtre dès 12 ans,,,,,,
,,Vendredi 4,20h30,L'Éolienne,Arnage,10 à 20€,sv,Cyrano,Théâtre Les Pieds Nus,comédie dramatique dès 12 ans,,,,,,
,,Vendredi 4,19h,"Parc du Petit Train, rue Pierre Levegh",Allonnes,au chapeau,sv,Hors Les Murs,Equipe artistique du Th. de Chaoué,"slam, danse, théâtre",,,,,,
,,Vendredi 4,21h,Théâtre de l’Acthalia,Le Mans,10 à 18 €,sv,Le Radeau Cabaret,T. Dannreuther & S.Péronnet,comédie musicale de poche,,,,,,
,,Vendredi 4,20h30,Théâtre du Passeur,Le Mans,8 €,sv,Les Séparés,Théâtre du Passeur,théâtre,,,,,,
,,Vendredi 4,20h30,Théâtre Municipal,Mamers,7/10€,sv,"A vendre, souvenirs compris",nc,théâtre,,,,,,
,,Vendredi 18,22h,Le Vaud’,Le Mans, 0 €,c,,Adrien WH,dj set,,,,,,
