,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"TU",,,"Dimanche 3","16h00","Château de Courtanvaux","Bessé-sur-Braye","8 à 15€","c",,"Céline Bonacina & Laurent Dehors","jazz",,,,,,,,,,
"AL",,,"Dimanche 3","16h","Eglise","La Bazoge","0€","c",,"Chorale Amusicoeur","Ch. fr., gospel","Ecart de ton","ch. de la renaissance",,,,,"https://def773hwqc19t.cloudfront.net/events/attachments/1512/202231793128127832_concert_amusicoeur_3_avril_2022_002.jpg",,,
"MG",,,"Dimanche 3","18h","Le Rabelais","Changé","0€","c",,"Stratosfonic",,"KD Orchestre","Battle d'orchestres",,,,,"https://www.lerabelais.org/evenement/battle-dorchestres-stratosfonic-kd-orchestre/",,,
"TU","Musiques d'ici et d'ailleurs",,"Dimanche 3","16h","Musée de Tessé","Le Mans","15 à 18€","c",,"Marie-José Delvincourt & David Harlé","piano, violoncelle",,,,,,,,,,
"JB",,,"Dimanche 3","16h","Péniche Excelsior",,"5 à 11€","c",,"Tout Bleu","ambient experimental","Surprise Barbue","Foire aux synthés",,,,,"https://toutbleu.bandcamp.com/","https://www.youtube.com/watch?v=wg7lfBNXvM8",,
"JLB",,,"Dimanche 3","17h00","Théâtre du Passeur","Le Mans","8 à 10€","sv","Épipurien ","Cie la Quincaillerie","Th. clown",,,,,,,"https://cie-la-quincaillerie.assoconnect.com/",,,
"CE","Apéro sur le zinc",,"Jeudi 14","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Origami","jazz",,,,,,,,,,
"CE","Apéro sur le zinc",,"Jeudi 21","19h","L'Épicerie sur le Zinc",,"au chapeau ","c",,"Belle Ile en Blues","blues/jazzy electrique",,,,,,,"https://www.facebook.com/SaraPhilippe72/",,,
"JLB",,,"Jeudi 28","20h00","Centre Culturel Athéna","La Ferté-Bernard","6 à 16,90€","c",,"Kaz Hawkins memories of Etta James","Soul-blues",,,,,,,"https://ontheroad-again.eu/",,,
"al",,,"Jeudi 28","18h30","Eve scène universitaire",,"0€","sv","Ca ira (1) fin de Louis","Atelier théâtre de l'Université","Th.",,,,,,,,,,
"CE","Apéro sur le zinc",,"Jeudi 28","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Dolly and The Beast","blues/jazz/pop",,,,,,,"https://www.facebook.com/dollyandthebeast/",,,
"CE",,,"Jeudi 28","21h","L'Épicerie sur le Zinc",,"au chapeau ","c",,"Session Musique Irlandaise Exemplaire",,,,,,,,,,,
"AL",,,"Jeudi 28","20h30","Théâtre de Chaoué","Allonnes","au chapeau","sv","#Je suis Simone","Cie Alcyone","Th. dès 13 ans",,,,,,,"https://www.youtube.com/watch?v=rFVi6rBT3jE",,,
"TU",,,"Jeudi 28","21h","Théâtre de l’Acthalia","Le Mans","15 à 18€","sv","LIBERTÉ ! (avec un point d’exclamation)","Gauthier Fourcade","humour",,,,,,,"https://www.youtube.com/watch?v=PKlbgsjPSgk",,,
"JLB",,,"Jeudi 7","20h00","Centre Culturel Athéna","La Ferté-Bernard","25€","sv","Caroline Vigneaux croque la pomme","JMD Production","One woman show",,,,,,,"https://jmdprod.com/",,,
"AL",,,"Jeudi 7","20h30","Eve scène universitaire",,"4 à 10€","sv","Courir","Thierry Romanens & Format A’3","Th.",,,,,,,"https://www.achdiff.com/courir",,,
"CE","Apéro sur le zinc",,"Jeudi 7","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Totalement Pomme","ch. de Pomme",,,,,,,,,,
"MG","Connexions festival","Rap / Hip hop","Jeudi 7","20h30","L’Alambik MJC Ronceray","Le Mans","6 à 10€","c",,"Davodka",,"Wuu Jia & Ana Asif",,,,,,"https://www.youtube.com/watch?v=cwLLz6LdLbY","https://www.youtube.com/watch?v=AI7TA3ckVdo",,
"JB",,,"Jeudi 7","20h","La Fonderie",,"5€","sv","Singspiele",,"sp.",,,,,,,,,,
"BL",,,"Jeudi 7","20h30","Salle Coppélia","La Flèche","7à15€","sv","La vie de Galilée","Collectif Pampa","Th >10 ans",,,,,,,"https://www.collectif-festivalpampa.fr/la-vie-de-galil%C3%A9e",,,
"JB",,,"Mardi 19","20h30","Le Lézard",,"au chapeau ","c",,"Bank Mina","dark rock","Alpha du centaure","blackgaze",,,,,"https://www.youtube.com/watch?v=kI1nYwOWapY","http://colddarkmatterrecords.com/?p=967",,
"BL",,,"Mardi 26","14H30","Espace Madeleine Marie","Sablé-sur-Sarthe","5à8€","sv","CIRK ALORS !","Cie in Toto","Cirque dès 3 ans",,,,,,,"https://www.youtube.com/watch?v=K_souyBE_OY",,,
"JB",,,"Mardi 26","18h30","L'Éolienne","Arnage","4 à 6€","sv","Boîte de nuit","La toute petite cie",,,,,,,,"http://latoutepetitecompagnie.fr/spectacle/boite-de-nuits-des-3-ans/",,,
"JB",,,"Mardi 5","20h","Brasserie Septante Deux",,"0€","c",,"2'Two","session jazz pop piano batterie",,,,,,,,,,
"BL",,,"Mardi 5","20h30","Espace Madeleine Marie","Sablé-sur-Sarthe","9à16€","sv","Mon père est une chanson de variété",,,,,,,,,"https://www.youtube.com/watch?v=oPYjAk8xS2k",,,
"AL",,,"Mardi 5","20h30","Eve scène universitaire",,"0€","sv","Présentation de travail ",,"Arts mélangés",,,,,,,,,,
"JB",,,"Mardi 5","18h30","L'Éolienne","Arnage","4 à 6€","sv","Le Yark","Cie LabOart",,,,,,,,"https://www.youtube.com/watch?v=2oGoA1k7T4w",,,
"CE","Apéro swing",,"Mardi 5","19h","L'Épicerie sur le Zinc",,"au chapeau","c",,"E.Nourry & PU Plecis","jazz/swing",,,,,,,,,,
"JB",,,"Mardi 5","19h30","Le bourg","Loué","4 à 10€","sv","Le Père","Cie Jamais 203","th. dès 13 ans",,,,,,,"https://ciejamais203.com/",,,
"AL",,,"Mardi 5","19h30","Place de la Mairie","Loué","4 à 10€","sv","Le Père","Cie jamais 203","Th. dès 13 ans",,,,,,,"https://ciejamais203.com/",,,
"JB","Sortie de résidence",,"Mardi 5","18h30","Théâtre Paul Scarron",,"0€","sv","La nuit juste avant les forêts","cie Théâtre en acte","th.",,,,,,,,,,
"JB",,,"Mercredi 20","18h","Place Saint Nicolas",,"0€","c",,"Tekemat","brass house performance",,,,,,,"https://tekemat.com/",,,
"BL",,,"Mercredi 27","10h, 16h et 18h","Espace Scélia","Sargé-lès-le-Mans"," 5/7","sv","Je me réveille","Armada Production","0 à 3 ans",,,,,,,,,,
"al",,,"Mercredi 27","20h30","Eve scène universitaire",,"0€","sv","Ca ira (1) fin de Louis","Atelier théâtre de l'Université","Th.",,,,,,,,,,
"JB",,,"Mercredi 27","20h","L'Oasis",,"25 à 31€","c",,"Têtes Raides","rock français",,,,,,,"https://www.facebook.com/tetesraides",,,
"CE",,,"Mercredi 6","20h","L'Épicerie sur le Zinc",,"au chapeau","c",,"Boeuf Bal Folk",,,,,,,,,,,
"JB",,,"Mercredi 6","18h","La Fonderie",,"5€","sv","Singspiele",,"sp.",,,,,,,,,,
"JB","UNE SCÈNE POUR DEUX",,"Mercredi 6","19h","Les Saulnières ",,"0€","c",,"Classes de Jazz et de percussions","blues jazz",,,,,,,,,,
"JB","Blauer 02","dj set rave techno","Samedi 16","23h","L'Oasis",,"8 à 15€","c",,"X&TRICK",,"Dica",,"Reiter",,"Towl",,"https://soundcloud.com/xntrick","https://www.youtube.com/watch?v=uIYOi7iMA_Q","https://www.facebook.com/REITERsound/","https://soundcloud.com/toru-koiwa"
"MG",,,"Samedi 2","20h30","Espace Henri Salvador","Coulaines","8 à 14€","c",,"Who is who","Pop rock",,,,,,,,,,
"AL","Europa Jazz","10e nuit des fanfares","Samedi 2","20h30","L'Eolienne","Arnage","10 à 16€","c",,"Les Grooms",,"Big Joanna",,"Mandé Brass Band",,,,"https://www.youtube.com/watch?v=OCGMd1EzGIo","http://www.lesgrooms.com/","https://www.youtube.com/watch?v=KRxjTscY1-Y",
"MG","Connexions festival - I love hip hop!","Rap / Hip hop","Samedi 2","14h à 19 h","L’Alambik MJC Ronceray","Le Mans","0€","c",,"Open Mic’ de l’Alambik !",,"Pumpkin & Vin’s Da Cuero",,,,,,"https://www.youtube.com/watch?v=ApLv4pLbNU8",,,
"JB","La fièvre du samedi matin","Métamorphoses","Samedi 2","11h","La Fonderie",,"0€","c",,"Ensemble ATMusica","musique contemporaine",,,,,,,"https://atmusica.fr/",,,
"JB",,,"Samedi 2","20h","Le Lapin Blanc",,"0€","c",,"Manu K","blues",,,,,,,,,,
"MG",,,"Samedi 2","15h00","Le Rabelais","Changé","8€","c",,"Rencontre chants du monde",,,,,,,,,,,
"AL",,,"Samedi 2","14h","Le Val’Rhonne","Moncé-en-Belin","0€","sv","C'mon carnaval","Cie Carnavage","Sp. déambulatoire",,,,,,,"https://fr.calameo.com/read/0064016510cd4c066c9e0?page=1",,,
"JB","Connexions Festival",,"Samedi 2","20h30","Les Saulnières ",,"12 à 18€","c",,"Poupie","trap reggae pop",,,,,,,"https://youtu.be/t-mNMiC0cXA",,,
"TU",,,"Samedi 2","21h","Salle des concerts","Le Mans","15 à 20€","sv","Les passagers de l'aube","Violaine Arsac","th.",,,,,,,"https://www.theatre-contemporain.net/video/Bande-Annonce-Les-Passagers-de-l-aube-1mn50",,,
"JLB",,,"Samedi 2","18h30","Théâtre du Passeur","Le Mans",,"sv","Épipurien ","Cie la Quincaillerie","Th. clown",,,,,,,"https://cie-la-quincaillerie.assoconnect.com/",,,
"JB","Amitié chanson production",,"Samedi 23","20h30","Brasserie Septante Deux",,"0€","c",,"La soirée karaoké",,,,,,,,,,,
"JB",,,"Samedi 23","20h30","L'Austral",,"au chapeau","c",,"Mira Calls","noise indus",,,,,,,"https://www.facebook.com/Mira-Calls-104035038067656/",,,
"JB",,,"Samedi 23","20h","L'Oasis",,"23 à 29€","c",,"Deluxe","électro pop","Gaumar","rap pop ch. fr.",,,,,"https://www.youtube.com/watch?v=SUsBnZ_neR4","https://www.youtube.com/watch?v=VRs4azSWZxE",,
"JB","Bande passante ",,"Samedi 23","21h","Le Barouf",,"0€","c",,"PAVANE & BJORN GOTTSCHALL","live","invité mystère","dj set",,,,,"https://www.bjoerngottschall.com/","https://www.facebook.com/pavane.music/",,
"JB","Good Vibes",,"Samedi 23","20h","Le Lapin Blanc",,"0€","c",,"soirée concerts et danse urbaine  ",,,,,,,,,,,
