,"festival","style_festival","date","horaire","lieu","ville","prix","genre","spectacle","artiste1","style1","artiste2","style2","artiste3","style3","artiste4","style4","lien1","lien2","lien3","lien4"
"AL",,,"Dimanche 7","17h30","La guinguette des Tanneries",,"0 €","c",,"John Maine","pop rock folk",,,,,,,,,,
"AL",,,"Dimanche 14","17h30","La guinguette des Tanneries",,"0 €","c",,"jazzKiss","electro jazz",,,,,,,,,,
"AL",,,"Dimanche 28","17h30","La guinguette des Tanneries",,"0 €","c",,"TennageBed","folk acoustique",,,,,,,,,,
"AL","Useless Fest","concerts","Vendredi 26","18h","Parc des Carmes","La Flèche","16 €","C",,"BLACK MANTRA","hardcore","P.O. BOX","ska punk","KRAV BOCA","rap punk","BURNING HEADS","St Patron du punk français","https://www.facebook.com/events/659738578621079/?acontext=%7B%22source%22%3A108%2C%22action_history%22%3A%22[%7B%5C%22surface%5C%22%3A%5C%22post_page%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22surface%5C%22%2C%5C%22extra_data%5C%22%3A[]%7D]%22%2C%22has_source%22%3Atrue%7D&source=108&action_history=[%7B%22surface%22%3A%22post_page%22%2C%22mechanism%22%3A%22surface%22%2C%22extra_data%22%3A[]%7D]&has_source=1&fref=mentions&__xts__[0]=68.ARAIAozoeq9LCwBA94b1i8cPsOHAi8R1FKQmlRAI8PQPfV-npNHlhsVzrU-CpbAP8sCU1_5S28-1ZmrLrqfS-N8zgFOeSZiQmDzhHodb9HT5TQ64TkTZiLmjpuJvWHuBgntbUBwt4M_K_hAVoO1biW4SiajP0K_PPVN13o8C0fYGhrMB6bKK2afwQobSoRNxwVxgBtoTA0okM1dku8x1ZHMJD0Xi020kVdpyZtOEjvuA3UEK5gPS4M-P0L3Ct6KzIdH-A3l5LRwRx9O5adpP7k7FKCOZmbNMHdJjdiW1s8uOzxTRPQA",,,
"AL","Useless Fest","concerts","Samedi 27","18h","Parc des Carmes","La Flèche","16 €","c",,"Fast Lane","skate punk","The dead Krazukies","punk rock","Wake the dead","hardcore","The butcher's rodeo","hardcore",,,,
"AL",,,"Vendredi 26","20h30","La Passerelle","Connerré","prix libre","c",,"Malween","ch., pop",,,,,,,,,,
"AL","Du 26 au 27/08 Festival Les Trouble ville #13",,"Vendredi 26",,,"Connerré","0 €","c",,"Les Hurlements d'léo","ch.fr","Merzhin","rock","Still",,"Immo + One shot + Mr Jacques + Malween",,"www.lestroublesville.com",,,
"JB","Festival Teriaki","concerts, installations & ateliers","Samedi 27","16h - 1h","Abbaye royale de l'Épau",,"0 €","c",,"Jardiland","grande percussive","Elg et la chimie","pop expé","Dame Area","électro","Antoine Souchav","pop baroque",,,,
"JB","Festival Teriaki","concerts, installations & ateliers","Dimanche 28","14h - 19h","Abbaye royale de l'Épau",,"0 €","c",,"Osilasi","musique & shaman","France","rock & traditions","Domotic","pop synthétique","Cyril Cyril","post folk",,,,
"JB",,,"Samedi 20","19h30","Guinguette de la Gèmerie","Arnage","0 €","c",,"Syl & the blues spirit","blues",,,,,,,,,,
